excec memoryUsed freeBlocks rounds avgsize
1.0 51024 48 385 1063
2.0 51072 48 386 1064
1.0 51072 48 387 1064
2.0 51136 49 388 1044
1.0 51184 49 389 1045
1.0 51168 49 390 1044
1.0 51184 49 391 1045
1.0 51160 50 392 1023
0.0 51200 50 393 1024
0.0 51320 50 394 1026
1.0 51304 51 395 1006
1.0 51328 51 396 1006
1.0 51328 51 397 1006
1.0 51344 51 398 1007
1.0 51192 50 399 1024
0.0 51200 50 400 1024
1.0 51304 51 401 1006
1.0 51168 52 402 984
1.0 51176 52 403 984
1.0 51224 53 404 966
1.0 51256 54 405 949
1.0 51184 54 406 948
1.0 51080 53 407 964
0.0 51048 54 408 945
1.0 51048 54 409 945
1.0 51112 55 410 929
1.0 51112 55 411 929
1.0 51208 54 412 948
2.0 51128 54 413 947
1.0 51056 54 414 945
1.0 50984 54 415 944
1.0 50920 54 416 943
1.0 50960 54 417 944
2.0 50944 54 418 943
1.0 50944 54 419 943
1.0 50832 54 420 941
1.0 50880 54 421 942
1.0 50856 53 422 960
1.0 50952 53 423 961
1.0 50984 53 424 962
1.0 50984 53 425 962
1.0 50952 52 426 980
1.0 50872 53 427 960
1.0 50872 54 428 942
2.0 50880 53 429 960
1.0 50904 53 430 960
1.0 50864 54 431 942
1.0 50808 55 432 924
1.0 50784 55 433 923
1.0 50832 54 434 941
1.0 50832 55 435 924
1.0 50880 54 436 942
1.0 50880 54 437 942
1.0 50920 54 438 943
1.0 51008 54 439 945
1.0 50936 54 440 943
1.0 50984 54 441 944
1.0 50968 55 442 927
1.0 51056 55 443 928
1.0 51136 55 444 930
1.0 51208 56 445 914
1.0 51336 57 446 901
1.0 51368 57 447 901
1.0 51344 57 448 901
1.0 51416 57 449 902
1.0 51528 58 450 888
1.0 51432 58 451 887
1.0 51344 57 452 901
1.0 51272 56 453 916
1.0 51288 56 454 916
0.0 51200 56 455 914
0.0 51136 55 456 930
1.0 51112 55 457 929
1.0 51112 56 458 913
1.0 51008 57 459 895
1.0 51080 58 460 881
1.0 51072 57 461 896
1.0 51056 57 462 896
1.0 51128 58 463 882
1.0 51216 59 464 868
1.0 51120 58 465 881
0.0 51168 58 466 882
1.0 51128 58 467 882
1.0 51128 58 468 882
1.0 51096 58 469 881
1.0 51104 58 470 881
1.0 51256 58 471 884
2.0 51288 59 472 869
1.0 51336 60 473 856
2.0 51368 61 474 842
1.0 51240 61 475 840
1.0 51200 61 476 839
0.0 51152 61 477 839
1.0 51072 61 478 837
1.0 51072 61 479 837
1.0 51080 60 480 851
1.0 51192 60 481 853
1.0 51272 61 482 841
1.0 51256 61 483 840
1.0 51264 61 484 840
1.0 51280 60 485 855
2.0 51328 61 486 841
2.0 51392 62 487 829
1.0 51400 62 488 829
1.0 51416 62 489 829
1.0 51320 62 490 828
1.0 51440 62 491 830
1.0 51552 62 492 831
1.0 51488 61 493 844
1.0 51608 61 494 846
1.0 51544 61 495 845
1.0 51480 61 496 844
1.0 51480 61 497 844
1.0 51512 61 498 844
1.0 51448 61 499 843
1.0 51488 62 500 830
1.0 51488 62 501 830
1.0 51376 63 502 815
1.0 51352 63 503 815
0.0 51416 64 504 803
0.0 51416 65 505 791
0.0 51448 65 506 792
2.0 51472 65 507 792
1.0 51408 65 508 791
1.0 51384 65 509 791
1.0 51432 65 510 791
1.0 51568 65 511 793
1.0 51608 65 512 794
1.0 51624 65 513 794
1.0 51664 64 514 807
1.0 51656 64 515 807
1.0 51760 65 516 796
1.0 51808 65 517 797
1.0 51904 66 518 786
1.0 51840 66 519 785
1.0 51784 65 520 797
1.0 51816 66 521 785
1.0 51808 65 522 797
1.0 51920 66 523 787
0.0 51912 65 524 799
1.0 51880 65 525 798
1.0 51936 66 526 787
1.0 51936 66 527 787
1.0 52032 66 528 788
1.0 52040 66 529 788
1.0 51952 65 530 799
1.0 52056 65 531 801
1.0 52080 65 532 801
1.0 52088 65 533 801
1.0 52056 65 534 801
1.0 52120 64 535 814
1.0 52064 64 536 814
1.0 52072 63 537 827
1.0 52096 63 538 827
1.0 52008 62 539 839
1.0 51856 62 540 836
1.0 51904 62 541 837
1.0 51960 63 542 825
1.0 51936 63 543 824
1.0 51840 64 544 810
1.0 51784 63 545 822
1.0 51824 63 546 823
1.0 51832 62 547 836
1.0 51832 62 548 836
1.0 51904 61 549 851
1.0 51840 60 550 864
0.0 51768 60 551 863
1.0 51736 61 552 848
1.0 51688 61 553 847
1.0 51688 61 554 847
1.0 51656 61 555 847
1.0 51656 62 556 833
1.0 51744 62 557 835
1.0 51768 62 558 835
1.0 51712 61 559 848
1.0 51648 60 560 861
1.0 51624 61 561 846
1.0 51640 61 562 847
1.0 51616 61 563 846
0.0 51696 61 564 847
1.0 51704 61 565 848
1.0 51712 61 566 848
1.0 51744 61 567 848
1.0 51744 61 568 848
1.0 51856 61 569 850
1.0 51760 61 570 849
1.0 51752 61 571 848
1.0 51752 61 572 848
0.0 51704 62 573 834
1.0 51704 62 574 834
2.0 51704 62 575 834
1.0 51672 63 576 820
1.0 51672 63 577 820
1.0 51728 62 578 834
0.0 51728 62 579 834
4.0 51816 61 580 849
1.0 51816 61 581 849
1.0 51856 61 582 850
1.0 51904 62 583 837
1.0 51936 62 584 838
1.0 51896 61 585 851
0.0 51896 61 586 851
0.0 51896 62 587 837
1.0 51904 62 588 837
1.0 51816 62 589 836
1.0 51824 62 590 836
1.0 51792 62 591 835
1.0 51768 63 592 822
1.0 51768 62 593 835
0.0 51776 62 594 835
1.0 51840 61 595 850
1.0 51904 62 596 837
1.0 51872 63 597 823
1.0 51776 63 598 822
1.0 51736 62 599 834
0.0 51896 63 600 824
0.0 51888 63 601 824
1.0 51888 62 602 837
1.0 51904 62 603 837
1.0 51824 63 604 823
1.0 51856 64 605 810
1.0 51800 64 606 809
1.0 51872 64 607 810
1.0 51840 64 608 810
1.0 51720 63 609 821
0.0 51776 64 610 809
0.0 51800 64 611 809
1.0 51800 64 612 809
1.0 51808 64 613 810
1.0 51808 63 614 822
1.0 51832 62 615 836
0.0 51912 62 616 837
0.0 51816 61 617 849
1.0 51824 61 618 850
1.0 51864 62 619 837
1.0 51864 62 620 837
1.0 51944 62 621 838
1.0 51864 61 622 850
1.0 51880 61 623 850
1.0 51960 61 624 852
1.0 51992 61 625 852
1.0 51984 60 626 866
0.0 51952 60 627 866
1.0 51928 60 628 865
1.0 51928 60 629 865
1.0 51872 59 630 879
1.0 51872 60 631 865
1.0 51872 60 632 865
0.0 51856 60 633 864
0.0 51760 61 634 849
1.0 51760 61 635 849
0.0 51880 60 636 865
1.0 51776 61 637 849
1.0 51704 62 638 834
1.0 51744 63 639 821
1.0 51688 64 640 808
1.0 51744 65 641 796
1.0 51632 64 642 807
1.0 51672 64 643 807
1.0 51728 63 644 821
0.0 51728 63 645 821
1.0 51824 64 646 810
1.0 51824 64 647 810
1.0 51936 64 648 812
1.0 52000 64 649 812
0.0 51944 64 650 812
0.0 51816 64 651 810
1.0 51752 64 652 809
1.0 51736 64 653 808
1.0 51744 64 654 808
1.0 51760 64 655 809
0.0 51840 64 656 810
1.0 51864 63 657 823
1.0 51920 64 658 811
1.0 51888 64 659 811
1.0 51888 65 660 798
1.0 51872 65 661 798
1.0 51872 65 662 798
1.0 51880 65 663 798
1.0 51784 65 664 797
0.0 51736 64 665 808
1.0 51640 63 666 820
1.0 51584 64 667 806
1.0 51488 63 668 817
1.0 51376 62 669 829
1.0 51392 62 670 829
1.0 51416 61 671 843
