excec memoryUsed freeBlocks rounds avgsize
2.0 51744 345 587 150
1.0 51744 345 588 150
1.0 51656 346 589 149
1.0 51688 347 590 149
1.0 51656 348 591 148
1.0 51632 349 592 148
1.0 51632 350 593 148
1.0 51632 350 594 148
1.0 51696 351 595 147
1.0 51752 352 596 147
1.0 51720 353 597 147
1.0 51656 354 598 146
1.0 51616 355 599 145
1.0 51752 356 600 145
1.0 51752 356 601 145
1.0 51752 356 602 145
1.0 51752 356 603 145
2.0 51680 357 604 145
1.0 51712 358 605 144
1.0 51656 359 606 144
1.0 51728 360 607 144
1.0 51712 361 608 143
1.0 51608 362 609 143
1.0 51656 363 610 142
1.0 51656 363 611 142
1.0 51656 363 612 142
2.0 51656 363 613 142
1.0 51656 364 614 142
1.0 51656 364 615 142
1.0 51736 365 616 142
1.0 51640 366 617 141
1.0 51640 366 618 141
0.0 51704 367 619 141
1.0 51704 367 620 141
1.0 51784 368 621 141
4.0 51720 369 622 140
1.0 51720 369 623 140
0.0 51824 370 624 140
1.0 51856 371 625 140
1.0 51848 372 626 139
1.0 51824 373 627 139
1.0 51800 374 628 139
1.0 51800 375 629 138
1.0 51744 376 630 138
0.0 51744 377 631 137
1.0 51744 377 632 137
0.0 51744 378 633 137
1.0 51656 379 634 136
0.0 51656 379 635 136
1.0 51776 380 636 136
0.0 51672 381 637 136
1.0 51608 382 638 135
1.0 51648 383 639 135
0.0 51592 384 640 134
1.0 51632 385 641 134
1.0 51520 386 642 133
1.0 51560 387 643 133
1.0 51616 388 644 133
1.0 51616 388 645 133
1.0 51704 389 646 133
1.0 51704 389 647 133
0.0 51816 390 648 133
1.0 51880 391 649 133
1.0 51824 392 650 132
1.0 51696 393 651 132
0.0 51632 394 652 131
1.0 51616 395 653 131
1.0 51616 395 654 131
0.0 51616 395 655 131
1.0 51696 396 656 131
1.0 51696 396 657 131
0.0 51752 397 658 130
1.0 51720 398 659 130
2.0 51720 399 660 130
1.0 51704 400 661 129
1.0 51704 400 662 129
1.0 51704 400 663 129
1.0 51608 401 664 129
1.0 51584 402 665 128
1.0 51488 403 666 128
1.0 51432 404 667 127
1.0 51352 405 668 127
1.0 51240 406 669 126
1.0 51240 406 670 126
1.0 51240 406 671 126
1.0 51240 406 672 126
1.0 51320 407 673 126
1.0 51304 408 674 126
1.0 51360 409 675 126
1.0 51288 410 676 125
1.0 51328 411 677 125
0.0 51328 412 678 125
0.0 51360 413 679 124
1.0 51416 414 680 124
1.0 51528 415 681 124
1.0 51480 415 682 124
0.0 51480 415 683 124
1.0 51464 416 684 124
1.0 51568 417 685 124
1.0 51648 418 686 124
0.0 51632 418 687 124
1.0 51608 418 688 123
1.0 51600 419 689 123
0.0 51600 419 690 123
1.0 51520 420 691 123
1.0 51520 421 692 122
0.0 51560 422 693 122
1.0 51560 422 694 122
0.0 51560 422 695 122
