excec memoryUsed freeBlocks rounds avgsize
5.0 55280 62 634 892
6.0 55304 63 635 878
4.0 55424 64 636 866
4.0 55320 64 637 864
6.0 55216 63 638 876
5.0 55256 64 639 863
5.0 55192 63 640 876
4.0 55232 64 641 863
6.0 55120 64 642 861
5.0 55160 65 643 849
5.0 55224 66 644 837
5.0 55224 66 645 837
5.0 55312 67 646 826
5.0 55328 67 647 826
4.0 55440 67 648 827
5.0 55504 67 649 828
4.0 55432 67 650 827
5.0 55304 66 651 838
7.0 55240 66 652 837
6.0 55224 66 653 837
4.0 55232 66 654 837
6.0 55248 66 655 837
5.0 55328 66 656 838
6.0 55352 65 657 852
4.0 55408 66 658 840
4.0 55376 67 659 827
5.0 55360 67 660 826
6.0 55344 68 661 814
5.0 55344 67 662 826
5.0 55352 67 663 826
6.0 55256 67 664 825
5.0 55232 67 665 824
6.0 55136 67 666 823
5.0 55080 67 667 822
5.0 54984 65 668 846
5.0 54872 66 669 831
4.0 54888 66 670 832
5.0 54888 66 671 832
5.0 54912 66 672 832
4.0 55008 65 673 846
4.0 54992 65 674 846
4.0 55048 66 675 834
5.0 54968 65 676 846
6.0 55008 65 677 846
4.0 55008 65 678 846
4.0 55040 66 679 834
4.0 55104 66 680 835
4.0 55216 67 681 824
4.0 55176 67 682 824
5.0 55200 67 683 824
5.0 55184 66 684 836
4.0 55288 66 685 838
5.0 55368 66 686 839
5.0 55368 67 687 826
4.0 55328 66 688 838
4.0 55320 66 689 838
4.0 55328 65 690 851
5.0 55248 66 691 837
4.0 55248 67 692 825
4.0 55304 68 693 813
4.0 55320 68 694 814
4.0 55328 68 695 814
5.0 55192 67 696 824
4.0 55192 67 697 824
4.0 55232 68 698 812
4.0 55192 68 699 812
4.0 55104 68 700 810
4.0 55200 68 701 812
5.0 55216 68 702 812
4.0 55152 67 703 823
4.0 55144 68 704 811
5.0 55184 68 705 812
5.0 55168 68 706 811
4.0 55168 69 707 800
4.0 55112 69 708 799
5.0 55112 68 709 810
4.0 55184 68 710 812
5.0 55160 68 711 811
5.0 55176 67 712 824
4.0 55160 67 713 823
5.0 55144 67 714 823
5.0 55192 66 715 836
4.0 55208 66 716 836
5.0 55176 67 717 824
4.0 55168 68 718 811
4.0 55168 67 719 823
4.0 55280 68 720 813
5.0 55192 68 721 812
5.0 55088 68 722 810
4.0 55032 68 723 809
4.0 54936 68 724 808
4.0 54952 68 725 808
5.0 55000 68 726 809
5.0 55024 68 727 809
4.0 55008 69 728 797
5.0 54944 69 729 796
4.0 54952 69 730 796
5.0 54944 69 731 796
4.0 54944 69 732 796
5.0 55040 69 733 798
5.0 55040 70 734 786
5.0 55040 70 735 786
4.0 55048 70 736 786
4.0 55048 70 737 786
5.0 54920 68 738 808
4.0 54920 68 739 808
4.0 55048 67 740 822
5.0 55072 67 741 822
5.0 55088 67 742 822
4.0 55000 66 743 833
5.0 54928 66 744 832
4.0 54936 66 745 832
5.0 54896 67 746 819
5.0 54896 68 747 807
5.0 54880 67 748 819
5.0 54952 68 749 808
4.0 54912 68 750 808
5.0 54888 68 751 807
4.0 54848 67 752 819
5.0 54832 67 753 818
5.0 54864 66 754 831
5.0 54824 65 755 843
4.0 54856 65 756 844
4.0 54856 64 757 857
5.0 54760 64 758 856
5.0 54760 65 759 842
4.0 54784 65 760 843
5.0 54664 64 761 854
5.0 54664 64 762 854
4.0 54656 64 763 854
5.0 54736 63 764 869
5.0 54752 62 765 883
5.0 54656 61 766 896
5.0 54656 61 767 896
4.0 54656 60 768 911
4.0 54648 60 769 911
4.0 54648 60 770 911
4.0 54664 59 771 927
4.0 54768 60 772 913
4.0 54760 60 773 913
4.0 54808 61 774 898
5.0 54880 61 776 900
5.0 54840 61 777 899
4.0 54848 61 778 899
4.0 54816 61 779 899
4.0 54832 60 780 914
4.0 54840 60 781 914
5.0 54848 60 782 914
5.0 54800 60 783 913
5.0 54864 61 784 899
5.0 54880 61 785 900
5.0 54920 61 786 900
5.0 54920 61 787 900
4.0 54856 60 788 914
6.0 54832 60 789 914
5.0 54800 60 790 913
4.0 54704 59 791 927
5.0 54720 58 792 943
4.0 54720 58 793 943
4.0 54744 59 794 928
4.0 54712 59 795 927
5.0 54712 60 796 912
5.0 54712 60 797 912
4.0 54712 60 798 912
5.0 54680 61 799 896
4.0 54688 61 800 897
5.0 54600 61 801 895
5.0 54520 62 802 879
4.0 54592 62 803 881
4.0 54568 62 804 880
4.0 54544 62 805 880
5.0 54504 63 806 865
5.0 54496 64 807 852
4.0 54496 64 808 852
4.0 54560 64 809 852
5.0 54624 64 810 854
4.0 54656 63 811 868
5.0 54672 62 812 882
4.0 54728 62 813 883
4.0 54720 62 814 883
4.0 54776 62 815 883
6.0 54680 63 816 868
4.0 54792 63 817 870
4.0 54752 64 818 856
4.0 54768 64 819 856
4.0 54728 65 820 842
4.0 54720 65 821 842
5.0 54704 65 822 842
4.0 54752 66 823 830
5.0 54840 67 824 819
4.0 54824 67 825 818
4.0 54896 68 826 807
5.0 54928 68 827 808
4.0 54880 69 828 795
4.0 54912 69 829 796
5.0 54896 69 830 796
5.0 54968 69 831 797
5.0 55008 68 832 809
4.0 55024 67 833 821
4.0 55024 66 834 834
4.0 55032 65 835 847
5.0 54944 64 836 858
5.0 54920 65 837 845
5.0 54920 65 838 845
5.0 54936 65 839 845
5.0 54864 65 840 844
4.0 54800 65 841 843
4.0 54736 65 842 842
5.0 54776 65 843 843
5.0 54800 64 844 856
5.0 54832 64 845 857
4.0 54800 65 846 843
